id,Leave_Next_Month,Gender,Pensioner,Married,Children,Months_with_company,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Type_contract,Paperless_Billing,Payment_Method,Monthly_Payment,Total_Payment
104,1,F,0,N,N,2,Y,N,Fiber optic,N,N,N,N,N,N,Per_month,Y,Check_electron,70.7,151.65
107,0,F,0,N,N,10,N,No_phone,DSL,Y,N,N,N,N,N,Per_month,N,Check_mailed,29.75,301.9
108,1,F,0,Y,N,28,Y,Y,Fiber optic,N,N,Y,Y,Y,Y,Per_month,Y,Check_electron,104.8,3046.05
109,0,M,0,N,Y,62,Y,N,DSL,Y,Y,N,N,N,N,Year-1,N,Bank_transfer_auto,56.15,3487.95
111,0,M,0,N,N,16,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,N,Credit_card_auto,18.95,326.8
114,0,M,0,N,N,25,Y,N,Fiber optic,Y,N,Y,Y,Y,Y,Per_month,Y,Check_electron,105.5,2686.05
116,0,F,0,N,N,52,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-1,N,Check_mailed,20.65,1022.95
119,0,F,0,N,N,21,Y,N,Fiber optic,N,Y,Y,N,N,Y,Per_month,Y,Check_electron,90.05,1862.9
121,0,M,0,Y,N,12,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-1,N,Bank_transfer_auto,19.8,202.25
123,0,F,0,Y,N,58,Y,Y,DSL,N,Y,N,Y,N,N,Year-2,Y,Credit_card_auto,59.9,3505.1
124,0,M,0,Y,Y,49,Y,N,DSL,Y,Y,N,Y,N,N,Per_month,N,Credit_card_auto,59.6,2970.3
130,0,F,1,Y,N,71,Y,Y,Fiber optic,Y,Y,Y,Y,N,N,Year-2,Y,Credit_card_auto,96.35,6766.95
131,0,M,1,Y,N,2,Y,N,Fiber optic,N,N,Y,N,Y,Y,Per_month,Y,Credit_card_auto,95.5,181.65
133,0,M,0,N,N,1,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Per_month,N,Bank_transfer_auto,20.2,20.2
134,0,M,1,N,N,1,Y,N,DSL,N,N,N,N,N,N,Per_month,N,Bank_transfer_auto,45.25,45.25
135,0,F,0,Y,Y,72,Y,Y,Fiber optic,Y,Y,N,Y,Y,N,Year-2,N,Bank_transfer_auto,99.9,7251.7
137,0,F,0,N,N,46,Y,N,Fiber optic,N,N,Y,N,N,N,Per_month,Y,Credit_card_auto,74.8,3548.3
138,1,M,0,N,N,34,Y,Y,Fiber optic,N,Y,Y,N,Y,Y,Per_month,Y,Check_electron,106.35,3549.25
143,0,F,0,N,N,63,Y,Y,DSL,Y,Y,Y,Y,Y,N,Year-2,Y,Credit_card_auto,79.85,4861.45
146,0,M,0,N,N,2,Y,N,DSL,N,Y,N,N,N,N,Per_month,N,Check_mailed,49.25,97
149,0,F,0,Y,Y,69,Y,Y,DSL,Y,N,Y,Y,N,N,Year-2,Y,Credit_card_auto,64.15,4254.1
150,0,F,1,N,N,43,Y,Y,Fiber optic,N,Y,N,N,Y,N,Per_month,Y,Check_electron,90.25,3838.75
151,1,F,0,N,N,15,Y,N,Fiber optic,Y,Y,N,N,Y,Y,Per_month,Y,Credit_card_auto,99.1,1426.4
153,1,F,1,Y,N,8,Y,Y,Fiber optic,N,Y,N,N,N,N,Per_month,Y,Credit_card_auto,80.65,633.3
154,0,F,1,Y,Y,60,Y,N,DSL,Y,Y,Y,Y,N,Y,Year-1,Y,Credit_card_auto,74.85,4456.35
156,0,F,0,Y,Y,63,Y,Y,Fiber optic,Y,N,N,N,Y,Y,Year-1,Y,Credit_card_auto,99.65,6311.2
160,0,F,0,Y,N,47,Y,Y,Fiber optic,N,N,Y,N,Y,Y,Per_month,Y,Check_electron,100.5,4707.1
161,0,M,0,N,N,60,Y,Y,Fiber optic,N,Y,N,N,Y,N,Per_month,Y,Bank_transfer_auto,89.9,5450.7
163,0,F,0,Y,Y,18,Y,N,DSL,N,N,Y,Y,N,N,Year-1,Y,Credit_card_auto,54.4,957.1
166,0,M,0,Y,N,47,Y,Y,Fiber optic,N,Y,N,N,N,N,Year-1,Y,Check_electron,78.9,3650.35
167,0,F,0,N,N,31,Y,N,DSL,N,Y,Y,Y,Y,Y,Year-2,N,Check_mailed,79.2,2497.2
168,0,F,0,Y,Y,50,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,N,Bank_transfer_auto,20.15,930.9
169,0,M,0,N,N,10,Y,N,Fiber optic,Y,N,Y,N,N,N,Per_month,Y,Check_mailed,79.85,887.35
172,0,M,1,Y,Y,64,Y,Y,Fiber optic,Y,N,Y,Y,Y,Y,Year-2,Y,Bank_transfer_auto,111.6,7099
173,0,M,0,Y,Y,62,Y,Y,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,Y,Bank_transfer_auto,24.25,1424.6
174,0,F,0,N,Y,3,Y,N,DSL,Y,N,N,Y,N,Y,Per_month,Y,Bank_transfer_auto,64.5,177.4
175,0,F,1,N,N,56,Y,Y,Fiber optic,Y,Y,Y,N,Y,Y,Year-1,N,Check_electron,110.5,6139.5
176,0,F,0,N,N,46,Y,N,DSL,N,N,N,N,N,Y,Year-1,N,Credit_card_auto,55.65,2688.85
180,1,F,0,N,Y,1,Y,N,Fiber optic,N,N,N,N,Y,N,Per_month,Y,Check_electron,79.35,79.35
181,0,F,0,Y,Y,11,N,No_phone,DSL,Y,N,N,N,Y,Y,Per_month,N,Check_electron,50.55,565.35
182,1,F,0,Y,N,7,Y,N,Fiber optic,N,N,Y,N,N,N,Per_month,Y,Bank_transfer_auto,75.15,496.9
183,0,F,0,N,N,42,Y,N,Fiber optic,N,Y,Y,Y,Y,Y,Per_month,Y,Bank_transfer_auto,103.8,4327.5
187,0,F,0,Y,Y,48,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,N,Bank_transfer_auto,20.65,1057
189,0,M,0,Y,N,29,N,No_phone,DSL,N,N,N,N,Y,N,Per_month,N,Check_mailed,33.75,1009.25
195,1,F,0,N,N,12,Y,Y,Fiber optic,Y,N,N,N,N,N,Per_month,Y,Check_electron,78.95,927.35
196,0,M,0,Y,Y,71,Y,Y,DSL,Y,Y,N,Y,N,N,Year-1,Y,Credit_card_auto,66.85,4748.7
197,1,M,0,N,N,5,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Per_month,N,Check_mailed,21.05,113.85
199,1,F,1,Y,N,25,Y,N,Fiber optic,N,Y,Y,N,Y,Y,Per_month,Y,Check_electron,98.5,2514.5
200,0,M,0,N,N,1,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Per_month,N,Check_mailed,20.2,20.2
202,0,M,0,N,N,38,Y,Y,Fiber optic,N,N,Y,Y,Y,N,Year-1,N,Bank_transfer_auto,95.0,3605.6
203,0,F,1,Y,N,66,N,No_phone,DSL,N,Y,Y,N,Y,N,Year-1,N,Bank_transfer_auto,45.55,3027.25
205,0,M,0,N,N,5,N,No_phone,DSL,N,N,N,N,N,N,Per_month,N,Check_mailed,24.3,100.2
206,0,F,0,Y,Y,72,Y,Y,Fiber optic,Y,Y,N,N,Y,Y,Year-1,Y,Check_electron,104.15,7303.05
208,0,M,0,N,N,43,Y,Y,Fiber optic,N,N,N,N,Y,Y,Year-1,N,Check_mailed,94.35,3921.3
209,0,M,0,Y,Y,72,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,N,Credit_card_auto,19.4,1363.25
211,0,F,0,N,N,52,Y,N,DSL,Y,N,Y,Y,N,N,Year-1,N,Credit_card_auto,57.95,3042.25
213,1,F,1,Y,N,37,Y,Y,Fiber optic,N,N,N,N,N,N,Per_month,Y,Check_electron,76.5,2868.15
215,0,M,0,Y,Y,3,Y,N,Fiber optic,Y,Y,N,N,Y,N,Per_month,N,Check_electron,89.85,248.4
220,0,F,0,Y,Y,56,Y,Y,Fiber optic,N,N,Y,N,Y,Y,Year-1,Y,Credit_card_auto,99.8,5515.45
221,0,F,0,N,N,6,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Per_month,N,Check_mailed,20.7,112.75
222,1,M,0,N,N,3,Y,Y,Fiber optic,N,N,N,N,N,N,Per_month,Y,Check_electron,74.4,229.55
223,0,F,0,Y,Y,7,Y,N,DSL,Y,N,N,N,N,N,Per_month,N,Check_mailed,50.7,350.35
224,0,F,0,Y,Y,4,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Per_month,N,Check_mailed,20.85,62.9
225,0,M,0,N,N,33,Y,N,Fiber optic,Y,N,N,Y,Y,N,Year-2,Y,Check_electron,88.95,3027.65
226,1,F,1,N,N,27,Y,Y,Fiber optic,N,N,Y,N,N,N,Per_month,Y,Check_electron,78.05,2135.5
229,0,M,1,N,N,71,N,No_phone,DSL,Y,Y,N,N,Y,Y,Year-1,Y,Check_electron,56.45,3985.35
234,1,M,0,N,N,2,Y,N,DSL,N,N,N,N,N,N,Per_month,N,Check_electron,44.35,81.25
240,0,F,1,Y,Y,72,Y,Y,DSL,Y,Y,Y,Y,Y,Y,Year-2,Y,Credit_card_auto,88.05,6425.65
242,0,F,0,Y,N,61,Y,Y,Fiber optic,N,Y,N,N,Y,Y,Year-2,Y,Bank_transfer_auto,101.05,5971.25
243,0,M,0,N,N,64,Y,Y,Fiber optic,Y,Y,N,N,N,N,Year-1,Y,Credit_card_auto,84.3,5289.05
246,0,M,0,N,N,3,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-1,N,Check_mailed,19.6,61.35
249,0,M,0,Y,Y,15,Y,N,DSL,N,Y,Y,Y,N,Y,Per_month,Y,Check_mailed,69.5,1071.4
250,0,F,0,Y,Y,8,Y,N,DSL,N,N,N,Y,Y,Y,Per_month,Y,Check_electron,68.55,564.35
251,1,M,0,N,N,7,Y,Y,Fiber optic,N,N,N,N,Y,Y,Per_month,N,Check_mailed,95.0,655.5
252,0,F,0,Y,Y,70,Y,Y,Fiber optic,Y,Y,Y,N,Y,Y,Year-1,Y,Credit_card_auto,108.15,7930.55
255,0,F,0,Y,Y,14,Y,N,Fiber optic,N,N,N,N,N,Y,Per_month,Y,Bank_transfer_auto,80.9,1152.8
257,0,M,0,Y,Y,22,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-1,N,Check_mailed,20.15,419.9
259,0,M,0,N,N,10,Y,Y,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,N,Bank_transfer_auto,25.7,251.6
261,1,F,0,Y,N,20,Y,Y,Fiber optic,Y,N,N,N,N,N,Per_month,N,Check_electron,82.4,1592.35
262,0,F,0,N,N,2,Y,N,Fiber optic,N,N,N,N,N,N,Per_month,Y,Check_electron,69.7,135.2
263,0,M,0,N,N,53,Y,Y,DSL,N,Y,Y,Y,N,Y,Year-2,Y,Bank_transfer_auto,73.9,3958.25
265,0,M,0,Y,N,69,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,N,Check_mailed,19.9,1363.45
269,0,F,0,Y,Y,16,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Per_month,N,Check_electron,20.4,321.4
273,1,F,0,Y,N,53,Y,N,Fiber optic,N,N,Y,N,Y,Y,Year-1,Y,Bank_transfer_auto,94.85,5000.2
275,0,F,0,Y,N,34,Y,Y,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Per_month,N,Check_electron,24.7,780.2
277,1,F,1,N,N,7,Y,N,Fiber optic,Y,N,N,N,N,N,Per_month,N,Bank_transfer_auto,76.45,503.6
278,0,F,0,Y,Y,15,Y,Y,Fiber optic,N,Y,Y,N,Y,Y,Per_month,Y,Bank_transfer_auto,105.35,1559.25
280,1,F,0,N,N,1,N,No_phone,DSL,N,Y,N,N,N,N,Per_month,N,Bank_transfer_auto,29.95,29.95
282,1,M,0,N,N,8,Y,Y,Fiber optic,N,N,N,N,N,Y,Per_month,N,Bank_transfer_auto,84.5,662.65
283,0,M,0,Y,Y,33,Y,N,DSL,Y,N,Y,N,Y,Y,Year-1,N,Credit_card_auto,74.75,2453.3
285,1,F,0,Y,N,1,N,No_phone,DSL,N,N,N,N,N,N,Per_month,Y,Check_electron,24.8,24.8
287,0,M,0,N,N,3,N,No_phone,DSL,N,N,N,Y,N,N,Per_month,N,Check_electron,30.4,82.15
288,0,F,0,N,N,13,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-1,N,Check_electron,19.65,244.8
289,0,F,0,Y,N,40,Y,Y,DSL,N,Y,N,N,N,N,Per_month,N,Credit_card_auto,56.6,2379.1
291,1,M,0,Y,N,6,Y,N,Fiber optic,N,Y,Y,N,N,Y,Per_month,Y,Check_electron,91.0,531
296,0,M,0,Y,Y,24,Y,Y,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,Y,Bank_transfer_auto,24.1,587.4
297,0,M,0,N,N,59,Y,Y,Fiber optic,N,Y,Y,Y,Y,Y,Per_month,Y,Check_electron,111.35,6519.75
300,0,F,0,Y,N,27,Y,N,Fiber optic,Y,N,N,Y,Y,Y,Year-1,Y,Credit_card_auto,101.9,2681.15
302,0,M,0,Y,Y,71,Y,Y,Fiber optic,Y,N,Y,N,Y,Y,Year-2,N,Check_electron,105.55,7405.5
303,0,M,0,N,Y,13,Y,N,Fiber optic,N,N,N,N,Y,N,Per_month,Y,Credit_card_auto,78.3,1033.95
304,0,M,0,N,N,44,Y,N,Fiber optic,N,N,N,N,N,N,Per_month,N,Credit_card_auto,68.85,2958.95
305,0,F,0,N,N,33,Y,N,Fiber optic,N,Y,N,Y,N,N,Year-1,Y,Bank_transfer_auto,79.95,2684.85
307,1,M,0,N,N,1,Y,N,Fiber optic,N,N,N,N,N,Y,Per_month,N,Check_electron,79.9,79.9
308,1,F,0,N,N,19,Y,N,Fiber optic,Y,N,Y,Y,Y,Y,Per_month,Y,Check_electron,106.6,1934.45
309,0,M,0,Y,N,64,Y,N,Fiber optic,N,Y,Y,Y,Y,Y,Year-1,Y,Credit_card_auto,102.45,6654.1
311,0,F,0,N,N,1,N,No_phone,DSL,N,N,N,N,N,N,Per_month,N,Check_electron,25.25,25.25
314,0,M,1,Y,N,23,Y,Y,Fiber optic,N,N,N,N,N,Y,Per_month,N,Check_electron,86.8,1975.85
316,0,M,0,Y,Y,72,N,No_phone,DSL,Y,Y,Y,Y,N,N,Year-2,N,Credit_card_auto,45.25,3139.8
318,0,M,0,Y,Y,65,Y,Y,DSL,N,Y,Y,Y,Y,Y,Year-2,Y,Bank_transfer_auto,84.2,5324.5
319,0,F,0,N,N,8,Y,N,Fiber optic,N,N,N,N,Y,N,Per_month,Y,Bank_transfer_auto,80.0,624.6
321,0,F,0,Y,N,71,Y,Y,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,N,Bank_transfer_auto,24.75,1836.9
322,0,M,0,Y,Y,1,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-1,Y,Check_electron,20.2,20.2
323,1,M,0,Y,N,4,Y,N,DSL,N,N,N,Y,N,N,Per_month,N,Check_mailed,50.05,179.35
